boundary_requirement_id,capability_name,zone,boundary_rule_family,authoritative_source_refs,owning_objects_or_contracts,triggering_actors,required_inputs,produced_outputs_or_artifacts,lawful_engine_relationship,security_privacy_implications,observability_implications,degraded_or_failure_behavior,forbidden_shortcuts_or_false_equivalences,downstream_phase_implications,notes
BR_001,Run initiation and authority-to-act evaluation,inside_core_engine,run_initiation_and_authority_to_act,Algorithm/actor_and_authority_model.md#actor-and-authority-model | Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#1-run-initiation-and-authority-to-act | Algorithm/invention_and_system_boundary.md#the-invention-begins-where,AuthorizationDecision | PrincipalContext | RunManifest | actor_and_authority_model.md,authenticated human principal | service principal | tenant policy engine,client_id | execution_mode | period | principal context | requested_scope | run_kind | tenant_id,AuthorizationDecision | RunManifest | access_binding_hash | runtime_scope,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.","flattening client, period, or partition scope before the manifest is frozen | reusing a prior manifest without legality and lineage checks | treating session presence as sufficient authority to act","Access-control modules must freeze one access_binding_hash that later collection, compute, and authority phases consume verbatim. | Swimlane and manifest-lifecycle implementations must start with authorize, scope-bind, and manifest-strategy decisions before any side effects.","The engine begins at authenticated, scope-bound evaluation, not at transport receipt or UI intent."
BR_002,"Manifest reuse, replay, recovery, continuation, and branching decisions",inside_core_engine,lineage_safe_replay_recovery_continuation,Algorithm/invention_and_system_boundary.md#1-run-initiation-and-authority-to-act | Algorithm/invention_and_system_boundary.md#boundary-rule-5a-the-engine-owns-lineage-safe-replay-recovery-and-continuation-decisions | Algorithm/replay_and_reproducibility_contract.md#core-principles | Algorithm/replay_and_reproducibility_contract.md#exact-replay-preconditions,ReplayAttestation | RunManifest | continuation basis | replay_and_reproducibility_contract.md,authenticated human principal | replay service | scheduler service,access_binding_hash | frozen basis refs | prior_manifest | requested_scope | run_kind,ReplayAttestation | child-manifest lineage | manifest strategy,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",letting queue or session infrastructure decide legal continuation posture | substituting fresh inputs while still labelling the result an exact replay | treating replay as generic retry or job restart,"Lineage-aware state machines must model same-manifest reuse, child branching, and replay attestation explicitly. | Replay, recovery, and supersession modules must consume persisted historical basis instead of ambient runtime state.","Whether a run may be reused, replayed, or superseded is part of the governed decision spine rather than infrastructure convenience."
BR_003,Config freeze and immutable execution-envelope binding,inside_core_engine,config_freeze_and_execution_envelope,Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#2-config-freeze-and-execution-envelope | Algorithm/invention_and_system_boundary.md#positive-boundary-what-is-inside-the-invention | Algorithm/replay_and_reproducibility_contract.md#1-immutable-execution-basis,ConfigFreeze | ConfigVersion | RunManifest | execution_basis_hash,manifest orchestrator | operator or scheduler principal,connector profile refs | mode | policy versions | retention profile refs | rule versions | thresholds,ConfigFreeze | execution_basis_hash | frozen execution envelope,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",analysis-only configuration silently authorizing compliance progression | mutable config lookup during a live run | reconstructing the execution basis from current defaults at replay time,"All downstream contracts must read frozen config refs from the manifest rather than re-resolving ambient policy. | Config services, release gates, and replay tooling must preserve a byte-stable execution basis before collection begins.","The inventive spine depends on a sealed execution envelope, not on best-effort configuration discipline."
BR_004,Engine-controlled evidence intake decisioning,inside_core_engine,controlled_intake_before_canonicalization,Algorithm/canonical_source_and_evidence_taxonomy.md#canonical-source-and-evidence-taxonomy | Algorithm/invention_and_system_boundary.md#2-system-boundary | Algorithm/invention_and_system_boundary.md#3-evidence-acquisition-as-engine-controlled-intake,ConnectorBinding | RunManifest | Snapshot | SourceCollectionRun,connector service | manifest orchestrator,connector profile refs | runtime_scope | source plan | source-window policy,collection audit refs | fetch instructions | scoped payload refs,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",allowing raw source payloads to satisfy scope without manifest linkage | letting connector retry logic widen partition or obligation scope | treating a successful fetch as canonical truth,Collection modules must separate engine-owned fetch intent from connector-owned transport execution. | Collection persistence must retain source-window and partition scope so later compute cannot over-read evidence.,"The engine owns the decision to fetch, the lawful scope of fetched payloads, and the rule that nothing becomes canonical before normalization."
BR_005,Canonicalization from raw source material into Snapshot,inside_core_engine,canonicalization_not_raw_source_truth,Algorithm/canonical_source_and_evidence_taxonomy.md#canonical-source-and-evidence-taxonomy | Algorithm/invention_and_system_boundary.md#4-canonicalization-and-data-quality-formation | Algorithm/invention_and_system_boundary.md#boundary-rule-2-the-engine-owns-canonicalization-not-raw-source-truth,CandidateFact | CanonicalFact | EvidenceItem | Snapshot | SourceRecord,manifest orchestrator | normalizer service,normalization context | raw payload refs | scope bindings | source_class,CanonicalFact | EvidenceItem | Snapshot | validation output,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",equating OCR text or imported CSV rows with engine truth | skipping scope binding before canonical fact promotion | treating external payloads as canonical facts on receipt,"Normalization services must persist the exact raw-to-canonical chain used by compute and parity. | Schema ownership work must distinguish SourceRecord, EvidenceItem, CandidateFact, and CanonicalFact as separate families.","Raw source material stays external input until the engine validates, scopes, and promotes it into Snapshot-backed canonical facts."
BR_006,"Explicit validation quality, completeness, and uncertainty measurement",inside_core_engine,validation_quality_and_completeness,Algorithm/canonical_source_and_evidence_taxonomy.md#4-5-strength-tiers | Algorithm/canonical_source_and_evidence_taxonomy.md#4-6-confidence-model | Algorithm/invention_and_system_boundary.md#4-canonicalization-and-data-quality-formation | Algorithm/invention_and_system_boundary.md#positive-boundary-what-is-inside-the-invention,Snapshot | TrustSummary | validation result sets,compute service | normalizer service,canonical facts | completeness checks | confidence state | evidence strength,completeness metrics | gate inputs | quality metrics | uncertainty markers,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",bypassing quality signals before trust synthesis | silent degradation when evidence is partial or weak | treating missing support as zero or non-occurrence,Later gate and trust modules must consume explicit quality or completeness metrics instead of informal heuristics. | Observability and remediation flows must surface typed data-health posture rather than generic warnings.,The corpus makes quality and completeness first-class inputs to later trust and automation decisions.
BR_007,Outcome computation on the frozen canonical snapshot,inside_core_engine,outcome_computation_from_snapshot,Algorithm/core_engine.md#outputs-decisionbundle | Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#5-outcome-computation,DecisionBundle | DerivedValue | Snapshot | data_model.md,compute service,Snapshot | deterministic seed | execution mode | frozen config refs,DecisionBundle | computed outcomes | derived value refs,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",mixing analysis-only basis into filing-capable result paths | re-reading live systems during compute and still calling the result frozen | treating disposable read models as the compute source of truth,Compute modules must accept only manifest-frozen inputs and return durable artifact refs. | Deterministic hashing and replay attestation depend on compute being re-executable from Snapshot and ConfigFreeze alone.,"The invention claims outcome computation only when it is bound to Snapshot, manifest freeze, and deterministic replay controls."
BR_008,Analysis-only forecast and counterfactual segregation,inside_core_engine,compliance_vs_analysis_segregation,Algorithm/invention_and_system_boundary.md#5-outcome-computation | Algorithm/invention_and_system_boundary.md#boundary-rule-8-the-engine-owns-compliance-vs-analysis-segregation | Algorithm/replay_and_reproducibility_contract.md#counterfactual-analysis,DecisionBundle | Forecast artifacts | execution_mode_boundary_contract,compute service | operator principal,counterfactual basis | execution_mode | forecast request,analysis_only flags | execution_mode_boundary_contract | forecast artifacts,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",inferring counterfactual posture from UI labels instead of persisted mode boundaries | reusing analysis-mode artifacts on authority-facing mutation paths | treating advisory outputs as live compliance truth,"Forecasting, replay, and filing modules must serialize explicit analysis posture and block authority-facing side effects from it. | UI and API surfaces must present analysis posture without collapsing it into ordinary submit-ready workflow.",Advisory modeling is allowed only when the engine preserves a hard legal-effect boundary around non-compliance outputs.
BR_009,Parity comparison against authority values and prior submissions,inside_core_engine,parity_and_trust_not_authority_calculation,Algorithm/authority_interaction_protocol.md#9-2-protocol-scope | Algorithm/invention_and_system_boundary.md#6-risk-parity-and-trust | Algorithm/invention_and_system_boundary.md#boundary-rule-4-the-engine-owns-parity-and-trust-not-hmrc-s-own-calculations,AuthorityReference | CanonicalFact | SubmissionRecord | parity result,authority gateway | compute service | operator principal,authority reference values | internal compute result | prior submission refs,comparison facts | mismatch reasons | parity deltas,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",dropping prior-submission comparisons because internal compute succeeded | substituting internal optimism for authority-returned calculations | treating parity match as legal acknowledgement,Parity modules must treat authority values as comparison inputs with their own provenance and freshness posture. | Read-side twins and workflow planning must preserve mismatch detail rather than a single pass or fail bit.,"The engine owns the comparison logic, not the external authority's own calculation service."
BR_010,"Trust synthesis, gate evaluation, and bounded override handling",inside_core_engine,override_bounded_gate_evaluation,Algorithm/actor_and_authority_model.md#layer-4-exceptional-authority | Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#6-risk-parity-and-trust,ExceptionalAuthorityGrant | GateDecisionRecord | TrustSummary,approver | compute service | reviewer,override refs | parity results | quality metrics | risk signals,TrustSummary | filing readiness posture | gate decisions,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",implicit override without persisted approval evidence | treating workflow completion as trust synthesis | using broad human authority to bypass bounded gate semantics,Filing-readiness decisions must consume TrustSummary rather than ad hoc UI or worker heuristics. | Gate-order and override modules must preserve typed reason codes and bounded exceptional-authority evidence.,"Trust is a formulaic engine output grounded in quality, parity, risk, defense quality, and approved overrides."
